Date,Open,High,Low,Close,Adj Close,Volume
2020-03-12,29.200001,31.950001,26.559999,31.250000,29.482201,31542400
2020-03-13,36.240002,37.669998,31.709999,36.490002,34.425774,40778100
2020-03-16,30.500000,32.799999,29.549999,30.400000,28.680281,31345200
2020-03-17,31.400000,33.290001,30.059999,31.870001,30.067123,27033700
2020-03-18,29.170000,30.160000,25.320000,26.610001,25.104681,38293300
2020-03-19,25.500000,27.690001,23.340000,25.570000,24.123514,41664900
2020-03-20,27.000000,27.900000,24.330000,24.600000,23.208387,29675100
2020-03-23,25.000000,25.000000,21.910000,22.129999,20.878113,26808100
2020-03-24,24.200001,26.480000,23.799999,25.920000,24.453712,25799300
2020-03-25,25.930000,30.570000,25.730000,29.030001,27.387785,25020600
2020-03-26,29.340000,31.670000,29.280001,30.490000,28.765190,25660000
2020-03-27,28.780001,29.500000,28.020000,28.240000,26.642473,20802400
2020-03-30,28.900000,29.459999,28.309999,28.990000,27.350046,15768600
2020-03-31,29.200001,29.500000,27.430000,27.889999,26.312273,18904200
2020-04-01,26.900000,27.280001,26.049999,26.709999,25.199024,19826600
2020-04-02,26.950001,27.799999,26.309999,27.020000,25.491491,15722400
2020-04-03,26.850000,26.889999,25.000000,25.500000,24.057474,18968100
2020-04-06,27.150000,28.299999,26.740000,27.860001,26.283970,21414000
2020-04-07,29.450001,30.500000,29.170000,29.170000,27.519865,21514700
2020-04-08,29.299999,30.549999,28.580000,29.730000,28.048185,19894100
2020-04-09,30.340000,30.879999,29.459999,29.650000,27.972710,17525600
2020-04-13,29.760000,30.299999,28.700001,30.240000,28.529335,18028700
2020-04-14,30.940001,31.650000,30.000000,30.209999,28.501028,17769700
2020-04-15,29.480000,30.240000,29.000000,29.650000,27.972710,16748200
2020-04-16,30.100000,30.379999,28.799999,28.799999,27.170794,20734200
2020-04-17,29.549999,30.059999,29.030001,29.580000,27.906672,18615000
2020-04-20,29.000000,29.490000,28.520000,28.990000,27.350046,17775000
2020-04-22,28.889999,29.150000,28.629999,28.860001,27.227404,20198900
2020-04-23,29.200001,29.629999,27.610001,28.049999,26.463223,21708800
2020-04-24,27.629999,27.700001,24.000000,24.299999,22.925360,73978000
2020-04-27,25.500000,26.200001,25.110001,25.690001,24.236729,32132800
2020-04-28,27.219999,29.250000,27.110001,29.139999,27.491560,43232700
2020-04-29,30.040001,30.209999,28.730000,29.559999,27.887802,24628700
2020-04-30,28.309999,28.780001,27.850000,28.500000,26.887764,23935300
